president name, cos_similarity with Fox, cos_similarity with Forward, difference btw two news company, year
Washington,0.2680010485071333,0.2557884501368542,0.012212598370279104,1789
Washington,0.1307494162509456,0.1320330164017613,-0.0012836001508156891,1793
Adams,0.30484958357558256,0.26520375249903505,0.03964583107654751,1797
Jefferson,0.2838414602143002,0.27829509892906706,0.0055463612852331146,1801
Jefferson,0.2622536337790331,0.2646287050932604,-0.002375071314227317,1805
Madison,0.25838966347993825,0.2659910227825528,-0.007601359302614574,1809
Madison,0.2649492114487444,0.2597744491043133,0.005174762344431094,1813
Monroe,0.3127399372869989,0.3150332102704231,-0.0022932729834241883,1817
Monroe,0.35861716648675934,0.3642126198033657,-0.00559545331660638,1821
Adams,0.31332804916437745,0.3156828935037121,-0.0023548443393346385,1825
Jackson,0.2536372962755357,0.2536037086894773,3.35875860584256e-05,1829
Jackson,0.2781212197608509,0.240856315371377,0.03726490438947391,1833
VanBuren,0.31263612668311563,0.31650184912944473,-0.0038657224463291007,1837
Harrison,0.3736265761189525,0.35322929537687403,0.020397280742078472,1841
Polk,0.3281661771972004,0.3183057769891023,0.009860400208098141,1845
Taylor,0.2589719841732896,0.2603487761521548,-0.0013767919788651994,1849
Pierce,0.3433961345141748,0.3496390572635111,-0.006242922749336299,1853
Buchanan,0.3213005572777322,0.31410969923622656,0.0071908580415056544,1857
Lincoln,0.3230534218367617,0.3303065014974918,-0.007253079660730077,1861
Lincoln,0.1938918181753371,0.18062391947070405,0.013267898704633047,1865
Grant,0.24814629284039663,0.26967250093010986,-0.021526208089713228,1869
Grant,0.2717717194243339,0.2952472990081831,-0.02347557958384916,1873
Hayes,0.335964502421194,0.32944313973620404,0.006521362684989984,1877
Garfield,0.3368180058532976,0.3434116560141027,-0.006593650160805098,1881
Cleveland,0.28588260648291025,0.2867489154550942,-0.0008663089721839268,1885
Harrison,0.33771261461511687,0.3769619846394726,-0.039249370024355745,1889
Cleveland,0.23482664495231653,0.2855385753270526,-0.05071193037473609,1893
McKinley,0.35189587227697555,0.3512983249819918,0.0005975472949837357,1897
McKinley,0.3111790523402458,0.3245310671744295,-0.01335201483418369,1901
Roosevelt,0.23411646887504545,0.24552296056308598,-0.011406491688040532,1905
Taft,0.3741293025666653,0.38960505734310846,-0.01547575477644314,1909
Wilson,0.24047689768082064,0.28697301131899994,-0.04649611363817929,1913
Wilson,0.23461306987982544,0.3105512683360506,-0.07593819845622518,1917
Harding,0.2816962265366169,0.3196167347057458,-0.0379205081691289,1921
Coolidge,0.3278213174484127,0.38168457861502264,-0.053863261166609944,1925
Hoover,0.3022329112899186,0.3567019874929221,-0.05446907620300351,1929
Roosevelt,0.2599104860547226,0.3087415611703997,-0.04883107511567708,1933
Roosevelt,0.2050797556195628,0.2713753420699263,-0.06629558645036351,1937
Roosevelt,0.2741166496154464,0.31587399766290736,-0.04175734804746095,1941
Roosevelt,0.14676758508337906,0.2144340694755759,-0.06766648439219683,1945
Truman,0.2562215656532328,0.3036511781770424,-0.04742961252380962,1949
Eisenhower,0.23828053718468306,0.3178903050764022,-0.07960976789171914,1953
Eisenhower,0.21385338210930444,0.28182077867070704,-0.0679673965614026,1957
Kennedy,0.18950113048347728,0.20788444711439755,-0.01838331663092027,1961
Johnson,0.20784292135221938,0.27078411102807337,-0.06294118967585399,1965
Nixon,0.27313570956822153,0.3425155576607044,-0.06937984809248288,1969
Nixon,0.20625144556323657,0.2144329266727429,-0.008181481109506339,1973
Carter,0.18526510451140862,0.24417878232487938,-0.05891367781347076,1977
Reagan,0.2741071258233153,0.3234051933420226,-0.0492980675187073,1981
Reagan,0.25298498341643255,0.2892076269349469,-0.03622264351851434,1985
Bush,0.2605459067866066,0.32228178041247135,-0.061735873625864746,1989
Clinton,0.22016840613498012,0.2421338121445858,-0.02196540600960567,1993
Clinton,0.22745629743988702,0.2617710660881918,-0.034314768648304766,1997
Bush,0.15945195035722087,0.25125943348352864,-0.09180748312630777,2001
Bush,0.25014267716748906,0.25679523666788157,-0.0066525595003925075,2005
Obama,0.21341626818494194,0.2710098769822992,-0.05759360879735728,2009
Obama,0.1633801022373188,0.2277868349696878,-0.064406732732369,2013
Trump,0.17762194655999264,0.22716459386211577,-0.04954264730212313,2017
